sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
RPS14__P1P2__secondary__FWD__69	RPS14__P1P2	1250.1	50.272/28.457	1250.1	39.365	-4.954	237.94	1.2159e+12	4.0252	2.8459e-05	0.99997	5.6917e-05	0.0042257	False
RPS14_+_149829235.23-P1P2	RPS14__P1P2	1353	60.746/61.1	1353	60.923	-4.4506	0.062723	1.3159e+12	3.9308	4.2335e-05	0.99996	8.467e-05	0.0042257	False
ARHGAP4_-_153200438.23-P1	ARHGAP4__P1	3713.8	141.39/111.32	3713.8	126.35	-4.8664	452.16	3.612e+12	3.8766	5.2964e-05	0.99995	0.00010593	0.0042257	False
ZNF532_-_56531072.23-P2	ZNF532__P2	2118.6	62.84/133.08	2118.6	97.96	-4.4208	2466.8	2.0605e+12	3.8701	5.4386e-05	0.99995	0.00010877	0.0042257	False
RPL14_+_40499019.23-P1P2	RPL14__P1P2	1069.6	48.178/92.068	1069.6	70.123	-3.9119	963.19	1.0403e+12	3.8682	5.4811e-05	0.99995	0.00010962	0.0042257	False
UHRF1__P1P2__secondary__FWD__69	UHRF1__P1P2	2752.8	149.77/77.002	2752.8	113.39	-4.5894	2647.5	2.6773e+12	3.8664	5.5216e-05	0.99994	0.00011043	0.0042257	False
POLR1B_-_113300081.23-P1P2	POLR1B__P1P2	1911.7	70.172/119.69	1911.7	94.93	-4.3175	1226	1.8594e+12	3.8653	5.5485e-05	0.99994	0.00011097	0.0042257	False
EIF3F__P1P2__primarysecondary__RVS__64	EIF3F__P1P2	2538	127.78/102.95	2538	115.36	-4.4475	308.17	2.4684e+12	3.8523	5.8511e-05	0.99994	0.00011702	0.0042257	False
HMGCR__P1P2__secondary__FWD__99	HMGCR__P1P2	2229.4	74.361/148.98	2229.4	111.67	-4.3071	2784.2	2.1683e+12	3.8443	6.0436e-05	0.99994	0.00012087	0.0042257	False
ORC5_-_103848430.23-P1P2	ORC5__P1P2	3706.9	160.24/128.06	3706.9	144.15	-4.675	517.91	3.6054e+12	3.8442	6.0479e-05	0.99994	0.00012096	0.0042257	False
SMN2__69345238__RVS__469	SMN2__69345238	3877.2	123.59/181.63	3877.2	152.61	-4.6581	1684.3	3.771e+12	3.8357	6.2603e-05	0.99994	0.00012521	0.0042257	False
CCDC12__P1__primarysecondary__FWD__40	CCDC12__P1	2298	106.83/130.57	2298	118.7	-4.2635	281.82	2.235e+12	3.8331	6.3272e-05	0.99994	0.00012654	0.0042257	False
CDC26__P1P2__secondary__FWD__44	CDC26__P1P2	3644.1	134.06/169.07	3644.1	151.56	-4.5785	612.9	3.5442e+12	3.8298	6.4137e-05	0.99994	0.00012827	0.0042257	False
DROSHA__31531421__RVS__38	DROSHA__31531421	4164	206.33/119.69	4164	163.01	-4.6665	3753	4.0499e+12	3.8283	6.4522e-05	0.99994	0.00012904	0.0042257	False
IPO7_-_9406180.23-P1P2	IPO7__P1P2	2511.7	155.01/106.3	2511.7	130.65	-4.2544	1186.3	2.4428e+12	3.8204	6.6612e-05	0.99993	0.00013322	0.0042257	False
CD22_+_35820536.23-P1P2	CD22__P1P2	4391.4	185.38/169.07	4391.4	177.22	-4.6232	132.98	4.2711e+12	3.8142	6.8306e-05	0.99993	0.00013661	0.0042257	False
CNOT3_+_54641889.23-P1P2	CNOT3__P1P2	3481.8	179.09/138.94	3481.8	159.02	-4.444	806.23	3.3864e+12	3.8123	6.8843e-05	0.99993	0.00013769	0.0042257	False
LSR_+_35739595.23-P1P2	LSR__P1P2	3143.6	174.91/128.9	3143.6	151.9	-4.3622	1058.5	3.0574e+12	3.811	6.9214e-05	0.99993	0.00013843	0.0042257	False
RPS13_+_17099153.23-P1P2	RPS13__P1P2	1353	70.172/133.08	1353	101.63	-3.7217	1978.8	1.3159e+12	3.806	7.062e-05	0.99993	0.00014124	0.0042257	False
HDAC7_-_48213211.23-P1P2	HDAC7__P1P2	2727.6	163.38/126.38	2727.6	144.88	-4.2253	684.51	2.6529e+12	3.8051	7.088e-05	0.99993	0.00014176	0.0042257	False
AATF_-_35306333.23-P1P2	AATF__P1P2	1931.2	114.16/129.73	1931.2	121.95	-3.9741	121.25	1.8783e+12	3.805	7.0916e-05	0.99993	0.00014183	0.0042257	False
SPAG9_-_49198067.23-P1P2	SPAG9__P1P2	3086.4	127.78/189.16	3086.4	158.47	-4.2751	1883.9	3.0019e+12	3.7982	7.2873e-05	0.99993	0.00014575	0.0042257	False
FLII__18161284__RVS__55	FLII__18161284	3545.8	112.07/234.36	3545.8	173.21	-4.3476	7477.4	3.4487e+12	3.7934	7.4307e-05	0.99993	0.00014861	0.0042257	False
NUTF2__P1P2__primary__RVS__67	NUTF2__P1P2	3493.3	191.66/157.35	3493.3	174.51	-4.3154	588.59	3.3975e+12	3.7897	7.5425e-05	0.99992	0.00015085	0.0042257	False
POLR1B_+_113300085.23-P1P2	POLR1B__P1P2	1716.3	147.67/99.601	1716.3	123.64	-3.7844	1155.5	1.6693e+12	3.7869	7.6271e-05	0.99992	0.00015254	0.0042257	False
