sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
SUPT20H_+_37633575.23-P1P2	SUPT20H__P1P2	2739.7	19615/20168	2739.7	19892	2.8596	1.5312e+05	3.6457e+06	8.9831	1	1.424e-19	2.848e-19	2.76e-15	True
BAK1__33547269__RVS__14	BAK1__33547269	3065	17537/21660	3065	19598	2.6764	8.4988e+06	4.0786e+06	8.1867	1	1.4353e-16	2.8706e-16	1.391e-12	True
BAK1__33547269__RVS__73	BAK1__33547269	2549.4	15988/16604	2549.4	16296	2.6758	1.8979e+05	3.3925e+06	7.4632	1	4.6065e-14	9.2129e-14	2.9761e-10	True
BAK1__33547269__FWD__55	BAK1__33547269	2539.8	15288/16116	2539.8	15702	2.6276	3.4271e+05	3.3797e+06	7.1593	1	4.4235e-13	8.847e-13	2.1434e-09	True
C7orf49_+_134854993.23-P1P2	C7orf49__P1P2	1978.5	13463/13167	1978.5	13315	2.75	44025	2.6328e+06	6.9867	1	1.583e-12	3.166e-12	5.5615e-09	True
BAK1__33547269__FWD__14	BAK1__33547269	2493.1	14197/16102	2493.1	15149	2.6028	1.8152e+06	3.3175e+06	6.9486	1	2.0168e-12	4.0337e-12	5.5615e-09	True
BAK1__33547269__FWD__38	BAK1__33547269	2477.1	15544/14626	2477.1	15085	2.6059	4.2095e+05	3.2963e+06	6.9444	1	2.0792e-12	4.1584e-12	5.5615e-09	True
SUPT20H__P1P2__secondary__RVS__74	SUPT20H__P1P2	2230.5	14738/13608	2230.5	14173	2.6672	6.3848e+05	2.9681e+06	6.9322	1	2.2955e-12	4.591e-12	5.5615e-09	True
SUPT20H_+_37633798.23-P1P2	SUPT20H__P1P2	2416.5	14249/15137	2416.5	14693	2.6036	3.9435e+05	3.2156e+06	6.8461	1	4.1646e-12	8.3292e-12	8.9687e-09	True
SUPT20H_-_37633730.23-P1P2	SUPT20H__P1P2	2031.7	14098/12023	2031.7	13060	2.6839	2.152e+06	2.7035e+06	6.7074	1	1.1106e-11	2.2213e-11	2.1526e-08	True
PMAIP1__57567020__FWD__2	PMAIP1__57567020	2640.8	16059/14261	2640.8	15160	2.5207	1.6172e+06	3.5141e+06	6.6782	1	1.3137e-11	2.6273e-11	2.3147e-08	True
BAK1__33547269__RVS__36	BAK1__33547269	2720.6	14127/16287	2720.6	15207	2.4823	2.3324e+06	3.6202e+06	6.5623	1	2.8683e-11	5.7365e-11	4.6327e-08	True
SUFU__104263513__RVS__57	SUFU__104263513	2734.4	13255/16772	2734.4	15013	2.4565	6.1874e+06	3.6386e+06	6.4372	1	6.5852e-11	1.317e-10	9.818e-08	True
BAK1__33547269__FWD__65	BAK1__33547269	2991.7	13849/16284	2991.7	15067	2.3319	2.9659e+06	3.981e+06	6.0518	1	7.6746e-10	1.5349e-09	1.0625e-06	True
SUPT20H__P1P2__secondary__RVS__54	SUPT20H__P1P2	2050.8	10650/13121	2050.8	11886	2.5344	3.0546e+06	2.729e+06	5.9534	1	1.4709e-09	2.9417e-09	1.9006e-06	True
SUPT20H_+_37633763.23-P1P2	SUPT20H__P1P2	2422.9	13409/12433	2422.9	12921	2.4144	4.7673e+05	3.2241e+06	5.8467	1	2.751e-09	5.5021e-09	3.3325e-06	True
SUFU__104263513__FWD__29	SUFU__104263513	2411.2	13287/12234	2411.2	12760	2.4034	5.5485e+05	3.2086e+06	5.7776	1	4.1595e-09	8.319e-09	4.7423e-06	True
BAK1__33547269__RVS__50	BAK1__33547269	2352.7	10611/12322	2352.7	11466	2.2845	1.4642e+06	3.1308e+06	5.1507	1	1.429e-07	2.8581e-07	0.00015388	True
RBM15__110881839__FWD__75	RBM15__110881839	1652.1	8200.6/9066.2	1652.1	8633.4	2.3849	3.7466e+05	2.1985e+06	4.7084	1	1.4391e-06	2.8781e-06	0.001468	True
SUFU__104263513__FWD__26	SUFU__104263513	2479.2	10324/10363	2479.2	10344	2.0603	739.86	3.2991e+06	4.3298	0.99999	8.1667e-06	1.6333e-05	0.0079144	True
TADA2B__P1P2__secondary__FWD__9	TADA2B__P1P2	2124.2	10132/7981.3	2124.2	9056.7	2.0916	2.3129e+06	2.8266e+06	4.1235	0.99998	2.0808e-05	4.1616e-05	0.019205	True
SUPT20H__P1P2__secondary__FWD__51	SUPT20H__P1P2	2085.9	8788.1/8434.3	2085.9	8611.2	2.045	62587	2.7757e+06	3.9167	0.99995	5.0169e-05	0.00010034	0.044199	True
SUPT20H_+_37633551.23-P1P2	SUPT20H__P1P2	1686.1	6472.9/7904.3	1686.1	7188.6	2.0913	1.0245e+06	2.2437e+06	3.6734	0.99986	0.00013756	0.00027512	0.11592	True
ZNF787_-_56632608.23-P1P2	ZNF787__P1P2	1887.1	7265.2/7965.5	1887.1	7615.3	2.0122	2.4522e+05	2.5111e+06	3.6148	0.99983	0.00017015	0.0003403	0.13741	True
PMAIP1__57567020__RVS__36	PMAIP1__57567020	3183	9208.4/11641	3183	10425	1.7112	2.9597e+06	4.2356e+06	3.5187	0.99977	0.00023088	0.00046176	0.179	True
ZNF787__P1P2__primary__RVS__59	ZNF787__P1P2	2109.3	8344.5/7042.6	2109.3	7693.5	1.8664	8.4758e+05	2.8068e+06	3.3332	0.99952	0.00047909	0.00095818	0.35714	True
