sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
TP53_+_7590774.23-P1P2	TP53__P1P2	7070.3	7.4168e+05/6.2875e+05	7070.3	6.8521e+05	6.5984	6.3766e+09	3.6324e+09	11.252	1	2.0726e-29	4.1451e-29	4.017e-25	True
TP53_+_7590763.23-P1P2	TP53__P1P2	7592.9	7.919e+05/6.5769e+05	7592.9	7.2479e+05	6.5766	9.0069e+09	4.3361e+09	10.892	1	1.1574e-27	2.3148e-27	1.1216e-23	True
TP53_+_7590780.23-P1P2	TP53__P1P2	10953	1.2412e+06/1.0064e+06	10953	1.1238e+06	6.6808	2.7574e+10	1.0773e+10	10.722	1	7.4014e-27	1.4803e-26	4.7818e-23	True
TP53__P1P2__primarysecondary__RVS__44	TP53__P1P2	7784.3	7.823e+05/6.6518e+05	7784.3	7.2374e+05	6.5386	6.8583e+09	4.6127e+09	10.542	1	5.0914e-26	1.0183e-25	2.467e-22	True
TP53_-_7590396.23-P1P2	TP53__P1P2	5310.5	4.3075e+05/3.9869e+05	5310.5	4.1472e+05	6.2869	5.1396e+08	1.7843e+09	9.6923	1	2.9563e-22	5.9127e-22	1.146e-18	True
TP53__P1P2__primarysecondary__FWD__34	TP53__P1P2	10426	9.9838e+05/8.7664e+05	10426	9.3751e+05	6.4905	7.41e+09	9.5301e+09	9.4967	1	1.9973e-21	3.9945e-21	6.4518e-18	True
TP53__P1P2__primarysecondary__FWD__60	TP53__P1P2	6308.1	5.1043e+05/4.6333e+05	6308.1	4.8688e+05	6.27	1.1092e+09	2.7362e+09	9.1873	1	3.6768e-20	7.3535e-20	1.018e-16	True
PMAIP1__57567020__RVS__48	PMAIP1__57567020	4131.5	2.632e+05/2.2446e+05	4131.5	2.4383e+05	5.8827	7.5011e+08	9.5654e+08	7.7502	1	8.2925e-15	1.6585e-14	2.0091e-11	True
USP28__P1P2__primary__RVS__65	USP28__P1P2	4331.6	2.2362e+05/2.5189e+05	4331.6	2.3775e+05	5.7781	3.9963e+08	1.0758e+09	7.1167	1	1.0002e-12	2.0004e-12	2.154e-09	True
PMAIP1__57567020__FWD__0	PMAIP1__57567020	5669.6	3.7789e+05/2.7734e+05	5669.6	3.2761e+05	5.8523	5.0555e+09	2.0992e+09	7.0267	1	1.9252e-12	3.8504e-12	3.6381e-09	True
KLF5_+_73633558.23-P1P2	KLF5__P1P2	4275.4	2.4144e+05/2.1995e+05	4275.4	2.307e+05	5.7534	2.3071e+08	1.0415e+09	7.016	1	2.0648e-12	4.1295e-12	3.6381e-09	True
USP28_+_113746234.23-P1P2	USP28__P1P2	4208.5	2.1307e+05/2.0849e+05	4208.5	2.1078e+05	5.646	1.0506e+07	1.0014e+09	6.5277	1	6.0404e-11	1.2081e-10	9.7562e-08	True
USP28_+_113746238.23-P1P2	USP28__P1P2	4380.5	2.2311e+05/2.1894e+05	4380.5	2.2102e+05	5.6566	8.7132e+06	1.1062e+09	6.5137	1	6.6385e-11	1.3277e-10	9.8975e-08	True
PMAIP1__57567020__FWD__2	PMAIP1__57567020	11195	7.8711e+05/6.0781e+05	11195	6.9746e+05	5.961	1.6074e+10	1.1374e+10	6.435	1	1.1397e-10	2.2794e-10	1.5778e-07	True
USP28__P1P2__primary__FWD__35	USP28__P1P2	5807.1	2.9889e+05/2.9186e+05	5807.1	2.9537e+05	5.6683	2.4708e+07	2.2279e+09	6.1347	1	7.7711e-10	1.5542e-09	1.0041e-06	True
USP28_-_113746230.23-P1P2	USP28__P1P2	4817.4	2.2104e+05/2.1933e+05	4817.4	2.2019e+05	5.514	1.4769e+06	1.4008e+09	5.7543	1	7.8919e-09	1.5784e-08	9.56e-06	True
CCDC6__P1P2__secondary__FWD__47	CCDC6__P1P2	3388.7	1.4066e+05/1.4032e+05	3388.7	1.4049e+05	5.3732	55189	5.847e+08	5.6699	1	1.2853e-08	2.5707e-08	1.4654e-05	True
USP28__P1P2__primary__FWD__55	USP28__P1P2	3932.1	1.7252e+05/1.6335e+05	3932.1	1.6793e+05	5.4161	4.209e+07	8.4597e+08	5.6385	1	1.5484e-08	3.0968e-08	1.6673e-05	True
FAM122A_-_71394992.23-P1P2	FAM122A__P1P2	2728.7	1.1071e+05/96194	2728.7	1.0345e+05	5.2441	1.0532e+08	3.4141e+08	5.4511	1	4.4797e-08	8.9595e-08	4.5698e-05	True
CSDE1_+_115300574.23-P1P2	CSDE1__P1P2	3267	1.3437e+05/1.2304e+05	3267	1.287e+05	5.2995	6.4193e+07	5.3395e+08	5.4284	1	5.1108e-08	1.0222e-07	4.9529e-05	True
PMAIP1__57567020__RVS__36	PMAIP1__57567020	13471	8.0895e+05/6.2988e+05	13471	7.1941e+05	5.7388	1.6034e+10	1.8007e+10	5.2608	1	1.3284e-07	2.6567e-07	0.0001226	True
TP53__P1P2__primarysecondary__FWD__51	TP53__P1P2	3097.2	1.3012e+05/1.0174e+05	3097.2	1.1593e+05	5.2257	4.0253e+08	4.6764e+08	5.2178	1	1.6259e-07	3.2518e-07	0.00014324	True
CSDE1_-_115300604.23-P1P2	CSDE1__P1P2	3213.1	1.1613e+05/1.2219e+05	3213.1	1.1916e+05	5.2123	1.836e+07	5.1231e+08	5.1225	1	2.7091e-07	5.4181e-07	0.00022829	True
FAM122A_-_71394995.23-P1P2	FAM122A__P1P2	2884.8	1.063e+05/92652	2884.8	99476	5.1073	9.3131e+07	3.9202e+08	4.8784	1	9.5826e-07	1.9165e-06	0.00077388	True
CCDC6__P1P2__secondary__FWD__75	CCDC6__P1P2	2801.4	97591/92730	2801.4	95160	5.0857	1.1815e+07	3.6445e+08	4.8379	1	1.1749e-06	2.3497e-06	0.00091085	True
CCDC6_+_61666146.23-P1P2	CCDC6__P1P2	3572.2	1.2577e+05/1.1843e+05	3572.2	1.221e+05	5.0947	2.6946e+07	6.6654e+08	4.591	1	3.9734e-06	7.9468e-06	0.002962	True
CCDC6__P1P2__secondary__FWD__71	CCDC6__P1P2	3902.6	1.352e+05/1.3616e+05	3902.6	1.3568e+05	5.1193	4.6295e+05	8.3029e+08	4.5733	1	4.3336e-06	8.6673e-06	0.0031109	True
