sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
PMAIP1__57567020__FWD__2	PMAIP1__57567020	7956.4	1.2741e+06/1.4336e+06	7956.4	1.3538e+06	7.4105	1.2721e+10	8.6889e+10	4.5659	1	4.8698e-06	9.7396e-06	0.094386	True
PMAIP1__57567020__RVS__36	PMAIP1__57567020	9985.9	1.6864e+06/1.8163e+06	9985.9	1.7514e+06	7.4542	8.4314e+09	1.6431e+11	4.2959	0.99998	1.7063e-05	3.4126e-05	0.10725	True
RBM15__110881839__FWD__75	RBM15__110881839	3775.8	4.2152e+05/4.7457e+05	3775.8	4.4805e+05	6.8903	1.4067e+09	1.0744e+10	4.2861	0.99998	1.7673e-05	3.5346e-05	0.10725	True
SUFU__104263513__FWD__29	SUFU__104263513	4141.9	3.9515e+05/4.5134e+05	4141.9	4.2324e+05	6.6747	1.5783e+09	1.3928e+10	3.5512	0.99963	0.00037302	0.00074605	0.10725	True
SUFU__104263513__RVS__57	SUFU__104263513	4680.7	4.3991e+05/4.8151e+05	4680.7	4.6071e+05	6.6207	8.6514e+08	1.9626e+10	3.2552	0.9989	0.0011037	0.0022074	0.10725	True
NKRF_+_118739757.23-P1P2	NKRF__P1P2	2881.9	98.673/82.696	2881.9	90.685	-4.9747	127.63	5.0368e+09	3.0942	0.00098675	0.99901	0.0019735	0.10725	False
HUS1__P1P2__primary__RVS__57	HUS1__P1P2	2784.5	74.282/103.7	2784.5	88.99	-4.952	432.67	4.5738e+09	3.0856	0.0010157	0.99898	0.0020313	0.10725	False
ILK_-_6625025.23-P1P2	ILK__P1P2	2298.9	107.54/49.88	2298.9	78.711	-4.8507	1662.5	2.6723e+09	3.0427	0.0011722	0.99883	0.0023443	0.10725	False
CENPF_-_214776554.23-P1P2	CENPF__P1P2	2558.6	79.825/106.32	2558.6	93.075	-4.766	351.09	3.6078e+09	3.037	0.0011947	0.99881	0.0023894	0.10725	False
ANAPC13__P1P2__primary__RVS__49	ANAPC13__P1P2	2898.5	117.52/148.33	2898.5	132.92	-4.4363	474.56	5.1185e+09	2.9814	0.0014349	0.99857	0.0028698	0.10725	False
SUPT20H_+_37633575.23-P1P2	SUPT20H__P1P2	4966.7	4.6498e+05/4.4564e+05	4966.7	4.5531e+05	6.5181	1.8692e+08	2.3177e+10	2.9581	0.99698	0.0030167	0.0060334	0.10725	True
MOSPD2_-_14891596.23-P1P2	MOSPD2__P1P2	2817	135.26/141.77	2817	138.51	-4.3362	21.162	4.725e+09	2.9565	0.0015557	0.99844	0.0031113	0.10725	False
VWA9_+_65903426.23-P1P2	VWA9__P1P2	2622.2	141.91/114.2	2622.2	128.06	-4.3453	383.98	3.8648e+09	2.95	0.0015887	0.99841	0.0031774	0.10725	False
HUS1_-_48019152.23-P1P2	HUS1__P1P2	3307.5	126.39/237.59	3307.5	181.99	-4.1763	6182.5	7.4111e+09	2.9411	0.0016354	0.99836	0.0032709	0.10725	False
CEP63_-_134205066.23-P1P2	CEP63__P1P2	2466.8	111.98/140.45	2466.8	126.21	-4.2779	405.42	3.2562e+09	2.9282	0.0017045	0.9983	0.0034089	0.10725	False
MYSM1_+_59165688.23-P1P2	MYSM1__P1P2	2214.6	118.63/99.761	2214.6	109.2	-4.3296	178.01	2.4065e+09	2.9267	0.0017126	0.99829	0.0034253	0.10725	False
DCP2_+_112312567.23-P1P2	DCP2__P1P2	1869.3	80.934/94.51	1869.3	87.722	-4.3978	92.156	1.4959e+09	2.9217	0.0017406	0.99826	0.0034812	0.10725	False
ORC5_-_103848433.23-P1P2	ORC5__P1P2	2359.7	93.13/150.95	2359.7	122.04	-4.262	1671.8	2.8752e+09	2.9195	0.0017528	0.99825	0.0035056	0.10725	False
CEP63__P1P2__secondary__FWD__59	CEP63__P1P2	2438.5	201.78/56.444	2438.5	129.11	-4.2287	10561	3.1524e+09	2.9162	0.0017718	0.99823	0.0035435	0.10725	False
MBIP__P1P2__primary__RVS__98	MBIP__P1P2	2252.6	104.22/129.95	2252.6	117.08	-4.2544	331.15	2.5241e+09	2.9124	0.0017935	0.99821	0.0035871	0.10725	False
PIGY__P1P2__secondary__FWD__34	PIGY__P1P2	2759	175.17/135.2	2759	155.19	-4.1433	798.81	4.4571e+09	2.9123	0.0017941	0.99821	0.0035881	0.10725	False
NPM1__P1P2__primary__RVS__27	NPM1__P1P2	2057.1	143.02/70.883	2057.1	106.95	-4.2529	2601.9	1.9568e+09	2.9013	0.0018582	0.99814	0.0037164	0.10725	False
PIGY__P1P2__secondary__FWD__-15	PIGY__P1P2	2103.4	154.11/66.945	2103.4	110.53	-4.238	3798.7	2.0828e+09	2.9006	0.0018619	0.99814	0.0037239	0.10725	False
NDUFAF6__P1P2__secondary__RVS__68	NDUFAF6__P1P2	2585.6	144.13/150.95	2585.6	147.54	-4.1221	23.288	3.7154e+09	2.8999	0.0018665	0.99813	0.003733	0.10725	False
NKRF__P1P2__secondary__RVS__74	NKRF__P1P2	1625.4	65.412/91.885	1625.4	78.649	-4.3519	350.4	1.0108e+09	2.8953	0.0018941	0.99811	0.0037883	0.10725	False
ORC5_+_103848420.23-P1P2	ORC5__P1P2	2772.1	121.96/210.02	2772.1	165.99	-4.0537	3877.9	4.5168e+09	2.8933	0.0019063	0.99809	0.0038127	0.10725	False
BTAF1_+_93683606.23-P1P2	BTAF1__P1P2	2307.2	143.02/115.51	2307.2	129.27	-4.1472	378.34	2.6994e+09	2.8918	0.0019155	0.99808	0.0038309	0.10725	False
PFDN4__P1P2__primary__FWD__60	PFDN4__P1P2	2542.8	146.35/149.64	2542.8	147.99	-4.0936	5.4273	3.5453e+09	2.8916	0.0019162	0.99808	0.0038323	0.10725	False
C1QTNF9B-AS1__P1P2__primary__FWD__67	C1QTNF9B-AS1__P1P2	2641.5	93.13/223.15	2641.5	158.14	-4.0536	8452.5	3.9453e+09	2.8874	0.001942	0.99806	0.003884	0.10725	False
PDIA4_+_148725194.23-P1P2	PDIA4__P1P2	2024	98.673/123.39	2024	111.03	-4.1759	305.42	1.8696e+09	2.8824	0.001973	0.99803	0.0039461	0.10725	False
ISCA1__P1P2__primary__FWD__40	ISCA1__P1P2	2823.9	168.52/185.08	2823.9	176.8	-3.9899	137.15	4.7575e+09	2.8815	0.001979	0.99802	0.0039579	0.10725	False
NDUFS8_-_67798204.23-P1P2	NDUFS8__P1P2	2370.1	179.61/98.448	2370.1	139.03	-4.0818	3293.4	2.9107e+09	2.8806	0.0019847	0.99802	0.0039693	0.10725	False
CEP63__P1P2__secondary__FWD__66	CEP63__P1P2	2873	124.17/240.21	2873	182.19	-3.9716	6732.7	4.9929e+09	2.8796	0.0019911	0.99801	0.0039822	0.10725	False
MBIP__P1P2__primary__FWD__70	MBIP__P1P2	2281	192.91/72.195	2281	132.55	-4.0948	7286.2	2.6141e+09	2.8789	0.0019956	0.998	0.0039912	0.10725	False
ORC5_-_103848430.23-P1P2	ORC5__P1P2	2667.1	126.39/215.27	2667.1	170.83	-3.9567	3950.1	4.0533e+09	2.8673	0.00207	0.99793	0.00414	0.10725	False
EIF3F__P1P2__primarysecondary__FWD__61	EIF3F__P1P2	1905.9	75.391/140.45	1905.9	107.92	-4.1298	2116.5	1.5795e+09	2.8651	0.0020846	0.99792	0.0041692	0.10725	False
CEP63__P1P2__secondary__FWD__65	CEP63__P1P2	2823.9	134.15/238.9	2823.9	186.53	-3.913	5486.3	4.7575e+09	2.8646	0.0020878	0.99791	0.0041756	0.10725	False
DUSP12_-_161719619.23-P1P2	DUSP12__P1P2	2419.1	204/97.135	2419.1	150.57	-3.997	5709.8	3.0828e+09	2.8644	0.0020892	0.99791	0.0041783	0.10725	False
ANAPC13__P1P2__primary__FWD__69	ANAPC13__P1P2	2788	138.59/232.34	2788	185.46	-3.9028	4394.7	4.5898e+09	2.8608	0.0021131	0.99789	0.0042263	0.10725	False
PRKDC__P1P2__primarysecondary__FWD__36	PRKDC__P1P2	2403.9	124.17/183.77	2403.9	153.97	-3.9559	1775.9	3.0288e+09	2.8545	0.0021552	0.99784	0.0043104	0.10725	False
SIN3B_-_16940250.23-P1P2	SIN3B__P1P2	3015.3	194.02/229.71	3015.3	211.87	-3.8247	636.97	5.7178e+09	2.8531	0.002165	0.99783	0.0043301	0.10725	False
ASUN_-_27090898.23-P1P2	ASUN__P1P2	3097.5	223.95/223.15	3097.5	223.55	-3.7864	0.32436	6.1658e+09	2.8479	0.0022007	0.9978	0.0044013	0.10725	False
MYSM1__P1P2__primary__FWD__34	MYSM1__P1P2	1999.1	111.98/132.58	1999.1	122.28	-4.0201	212.17	1.8059e+09	2.8464	0.0022105	0.99779	0.004421	0.10725	False
